Parameter,Type,Mandatory,Description,Options
nodes.0.x,REAL,Yes,X-coordinate of the first node in the structural mesh.,
nodes.0.y,REAL,Yes,Y-coordinate of the first node.,
nodes.0.z,REAL,Yes,Z-coordinate of the first node.,
elements.0.type,CHARACTER,Yes,The type of finite element connecting the nodes.,BarElement; TrussElement1D
elements.0.n1,INTEGER,Yes,"Zero-based index of the starting node (e.g., 0 for the first node).",
elements.0.n2,INTEGER,Yes,Zero-based index of the ending node.,
elements.0.E,REAL,Yes,Young's modulus (Elasticity) of the element material.,
elements.0.A,REAL,No,Cross-sectional area of the element (mandatory for Truss/Bar types).,
constraints.0.node,INTEGER,No,Zero-based index of the node to apply boundary conditions.,
constraints.0.dx,CHARACTER,No,Displacement constraint in the X direction.,Fixed; Free
constraints.0.dy,CHARACTER,No,Displacement constraint in the Y direction.,Fixed; Free
constraints.0.dz,CHARACTER,No,Displacement constraint in the Z direction.,Fixed; Free
constraints.0.rx,CHARACTER,No,Rotational constraint around the X axis.,Fixed; Free
constraints.0.ry,CHARACTER,No,Rotational constraint around the Y axis.,Fixed; Free
constraints.0.rz,CHARACTER,No,Rotational constraint around the Z axis.,Fixed; Free
loads.0.node,INTEGER,No,Zero-based index of the node receiving the concentrated force.,
loads.0.fx,REAL,No,Concentrated load (force) applied in the X direction.,
loads.0.fy,REAL,No,Concentrated load (force) applied in the Y direction.,
loads.0.fz,REAL,No,Concentrated load (force) applied in the Z direction.,
