Parameter,Type,Mandatory,Description,Options
physicsModel,CHARACTER,Yes,"Specifies the physics or PDE model to solve. Ex: heatConductionScript",heatConductionScript
meshConfig.meshDimension,CHARACTER,Yes,"Dimension of the finite element mesh domain.",1D;2D
meshConfig.elementOrder,CHARACTER,Yes,"Polynomial order of the finite elements.",linear;quadratic
meshConfig.numElementsX,INTEGER,Yes,"Number of elements distributed along the x-direction. Ex: 10",
meshConfig.numElementsY,INTEGER,No,"Number of elements distributed along the y-direction (required if 2D). Ex: 6",
meshConfig.maxX,REAL,Yes,"Total length of the domain in the x-direction. Ex: 1.0",
meshConfig.maxY,REAL,No,"Total length of the domain in the y-direction (required if 2D). Ex: 0.5",
materialConfig.thermalConductivity,REAL,No,"Thermal conductivity of the material (applicable for heat conduction). Ex: 400.0",
boundaryConditions.0.boundaryIndex,CHARACTER,Yes,"String identifying the target boundary.",left;right;top;bottom
boundaryConditions.0.conditionType,CHARACTER,Yes,"Type of the applied boundary condition.",constantTemp;heatFlux
boundaryConditions.0.value,REAL,Yes,"Numerical value applied to the boundary condition.",
