Parameter,Type,Mandatory,Description,Options
resolution,INTEGER,Yes,"Spatial resolution specifying the number of pixels per distance unit. Higher values increase accuracy but require more memory. Ex: 20",
run_time,REAL,Yes,"Total simulation time in MEEP time units. Ex: 200.0",
cell_size.x,REAL,Yes,"Size of the computational cell along the x-axis. Ex: 10.0",
cell_size.y,REAL,Yes,"Size of the computational cell along the y-axis. Ex: 10.0",
cell_size.z,REAL,Yes,"Size of the computational cell along the z-axis (set to 0 for 2D simulations). Ex: 0.0",
geometry.0.shape,CHARACTER,No,"Geometric shape of the first object.",Block;Sphere;Cylinder
geometry.0.size.x,REAL,No,"Size of the object along the x-axis (used if shape is Block). Ex: 5.0",
geometry.0.size.y,REAL,No,"Size of the object along the y-axis (used if shape is Block).",
geometry.0.size.z,REAL,No,"Size of the object along the z-axis (used if shape is Block, set to 0 for 2D).",
geometry.0.radius,REAL,No,"Radius of the object (used if shape is Sphere or Cylinder). Ex: 1.2",
geometry.0.center.x,REAL,No,"Center position of the geometry object along the x-axis.",
geometry.0.center.y,REAL,No,"Center position of the geometry object along the y-axis.",
geometry.0.center.z,REAL,No,"Center position of the geometry object along the z-axis.",
geometry.0.material.index,REAL,No,"Refractive index of the material (square root of dielectric constant). Ex: 1.5",
sources.0.type,CHARACTER,No,"Type of the electromagnetic source.",GaussianSource;ContinuousSource
sources.0.component,CHARACTER,No,"Electromagnetic field component injected by the source.",Ex;Ey;Ez;Hx;Hy;Hz
sources.0.center.x,REAL,No,"Center position of the source along the x-axis.",
sources.0.center.y,REAL,No,"Center position of the source along the y-axis.",
sources.0.center.z,REAL,No,"Center position of the source along the z-axis.",
sources.0.frequency,REAL,No,"Center frequency of the source in MEEP units. Ex: 0.15",
sources.0.fwidth,REAL,No,"Frequency width of the source (required if type is GaussianSource). Ex: 0.1"
