Parameter,Type,Mandatory,Description,Options
CONTROL.calculation,CHARACTER,Yes,A string describing the task to be performed.,scf;nscf;bands;relax;md;vc-relax;vc-md
CONTROL.nstep,INTEGER,No,Number of molecular-dynamics or structural optimization steps.,
CONTROL.tstress,LOGICAL,No,Calculate stress.,
CONTROL.tprnfor,LOGICAL,No,Calculate forces.,
CONTROL.dt,REAL,No,Time step for molecular dynamics.,
CONTROL.etot_conv_thr,REAL,No,Convergence threshold on total energy (a.u) for ionic minimization.,
CONTROL.forc_conv_thr,REAL,No,Convergence threshold on forces (a.u) for ionic minimization.,
CONTROL.tefield,LOGICAL,No,If .TRUE. a saw-like potential simulating an electric field is added.,
CONTROL.dipfield,LOGICAL,No,If .TRUE. and tefield==.TRUE. a dipole correction is also added.,
CONTROL.lelfield,LOGICAL,No,If .TRUE. a homogeneous finite electric field is applied.,
CONTROL.nberrycyc,INTEGER,No,Number of iterations for converging the wavefunctions in the electric field Hamiltonian.,
CONTROL.lorbm,LOGICAL,No,If .TRUE. perform orbital magnetization calculation.,
CONTROL.lberry,LOGICAL,No,If .TRUE. perform a Berry phase calculation.,
CONTROL.gdir,INTEGER,No,For Berry phase calculation: direction of the k-point strings in reciprocal space.,
CONTROL.nppstr,INTEGER,No,For Berry phase calculation: number of k-points calculated along each symmetry-reduced string.,
CONTROL.gate,LOGICAL,No,Represents the counter charge with a charged plate rather than a homogeneous background.,
CONTROL.twochem,LOGICAL,No,A two chemical potential calculation for the simulation of photoexcited systems.,
CONTROL.lfcp,LOGICAL,No,If .TRUE. perform a constant bias potential (constant-mu) calculation.,
CONTROL.trism,LOGICAL,No,If .TRUE. perform a 3D-RISM-SCF calculation.,
SYSTEM.nbnd,INTEGER,No,Number of electronic states (bands) to be calculated.,
SYSTEM.nbnd_cond,INTEGER,No,Number of electronic states in the conduction manifold for a two chemical-potential calculation.,
SYSTEM.tot_charge,REAL,No,Total charge of the system.,
SYSTEM.starting_charge(i),REAL,No,"Starting charge on atomic type i. Ex: starting_charge(Si), 0.1",
SYSTEM.tot_magnetization,REAL,No,Total majority spin charge minus minority spin charge.,
SYSTEM.starting_magnetization(i),REAL,No,"Starting spin polarization on atomic type i. Ex: starting_magnetization(Si), 0.5",
SYSTEM.ecutwfc,REAL,Yes,Kinetic energy cutoff (Ry) for wavefunctions.,
SYSTEM.ecutrho,REAL,No,Kinetic energy cutoff (Ry) for charge density and potential.,
SYSTEM.ecutfock,REAL,No,Kinetic energy cutoff (Ry) for the exact exchange operator in EXX.,
SYSTEM.nosym,LOGICAL,No,If .TRUE. symmetry is not used.,
SYSTEM.nosym_evc,LOGICAL,No,"If .TRUE. symmetry is not used, and k points are forced to have the symmetry of the Bravais lattice.",
SYSTEM.noinv,LOGICAL,No,Disable the usage of k => -k symmetry (time reversal) in k-point generation.,
